agemos,L,M,S,P1,P3,P5,P15,P25,P50,P75,P85,P95,P97,P99
0,-0.3053,13.4069,0.09560,10.8,11.3,11.5,12.2,12.6,13.4,14.3,14.8,15.8,16.1,16.9
1,0.2708,14.9441,0.09027,12.0,12.6,12.8,13.6,14.1,14.9,15.9,16.4,17.3,17.6,18.3
2,0.1118,16.3195,0.08677,13.3,13.8,14.1,14.9,15.4,16.3,17.3,17.8,18.8,19.2,19.9
3,0.0068,16.8987,0.08495,13.9,14.4,14.7,15.5,16.0,16.9,17.9,18.5,19.4,19.8,20.6
4,-0.0727,17.1579,0.08378,14.1,14.7,15.0,15.7,16.2,17.2,18.2,18.7,19.7,20.1,20.9
5,-0.1370,17.2919,0.08296,14.3,14.8,15.1,15.9,16.4,17.3,18.3,18.9,19.8,20.2,21.0
6,-0.1913,17.3422,0.08234,14.4,14.9,15.2,15.9,16.4,17.3,18.3,18.9,19.9,20.3,21.1
7,-0.2385,17.3288,0.08183,14.4,14.9,15.2,15.9,16.4,17.3,18.3,18.9,19.9,20.3,21.1
8,-0.2802,17.2647,0.08140,14.4,14.9,15.1,15.9,16.3,17.3,18.2,18.8,19.8,20.2,21.0
9,-0.3176,17.1662,0.08102,14.3,14.8,15.1,15.8,16.3,17.2,18.1,18.7,19.7,20.1,20.8
10,-0.3516,17.0488,0.08068,14.2,14.7,15.0,15.7,16.2,17.0,18.0,18.6,19.5,19.9,20.7
11,-0.3828,16.9239,0.08037,14.1,14.6,14.9,15.6,16.0,16.9,17.9,18.4,19.4,19.8,20.5
12,-0.4115,16.7981,0.08009,14.0,14.5,14.8,15.5,15.9,16.8,17.7,18.3,19.2,19.6,20.4
13,-0.4382,16.6743,0.07982,13.9,14.4,14.7,15.4,15.8,16.7,17.6,18.1,19.1,19.5,20.2
14,-0.4630,16.5548,0.07958,13.9,14.3,14.6,15.3,15.7,16.6,17.5,18.0,18.9,19.3,20.1
15,-0.4863,16.4409,0.07935,13.8,14.2,14.5,15.2,15.6,16.4,17.4,17.9,18.8,19.2,19.9
16,-0.5082,16.3335,0.07913,13.7,14.2,14.4,15.1,15.5,16.3,17.2,17.8,18.7,19.1,19.8
17,-0.5289,16.2329,0.07892,13.6,14.1,14.3,15.0,15.4,16.2,17.1,17.6,18.6,18.9,19.7
18,-0.5484,16.1392,0.07873,13.6,14.0,14.2,14.9,15.3,16.1,17.0,17.5,18.5,18.8,19.6
19,-0.5669,16.0528,0.07854,13.5,13.9,14.2,14.8,15.2,16.1,16.9,17.4,18.4,18.7,19.5
20,-0.5846,15.9743,0.07836,13.4,13.9,14.1,14.8,15.2,16.0,16.9,17.4,18.3,18.6,19.4
21,-0.6014,15.9039,0.07818,13.4,13.8,14.1,14.7,15.1,15.9,16.8,17.3,18.2,18.6,19.3
22,-0.6174,15.8412,0.07802,13.3,13.8,14.0,14.6,15.0,15.8,16.7,17.2,18.1,18.5,19.2
23,-0.6328,15.7852,0.07786,13.3,13.7,14.0,14.6,15.0,15.8,16.7,17.1,18.0,18.4,19.1
24,-0.6187,16.0189,0.07785,13.5,13.9,14.2,14.8,15.2,16.0,16.9,17.4,18.3,18.7,19.4
25,-0.5840,15.9800,0.07792,13.5,13.9,14.1,14.8,15.2,16.0,16.9,17.4,18.3,18.6,19.4
26,-0.5497,15.9414,0.07800,13.4,13.8,14.1,14.7,15.1,15.9,16.8,17.3,18.2,18.6,19.3
27,-0.5166,15.9036,0.07808,13.4,13.8,14.0,14.7,15.1,15.9,16.8,17.3,18.2,18.5,19.2
28,-0.4850,15.8667,0.07818,13.3,13.8,14.0,14.7,15.1,15.9,16.7,17.2,18.1,18.5,19.2
29,-0.4552,15.8306,0.07829,13.3,13.7,14.0,14.6,15.0,15.8,16.7,17.2,18.1,18.4,19.1
30,-0.4274,15.7953,0.07841,13.3,13.7,13.9,14.6,15.0,15.8,16.7,17.2,18.0,18.4,19.1
31,-0.4016,15.7606,0.07854,13.2,13.7,13.9,14.5,15.0,15.8,16.6,17.1,18.0,18.4,19.1
32,-0.3782,15.7267,0.07867,13.2,13.6,13.9,14.5,14.9,15.7,16.6,17.1,18.0,18.3,19.0
33,-0.3572,15.6934,0.07882,13.1,13.6,13.8,14.5,14.9,15.7,16.6,17.0,17.9,18.3,19.0
34,-0.3388,15.6610,0.07897,13.1,13.5,13.8,14.4,14.9,15.7,16.5,17.0,17.9,18.2,18.9
35,-0.3231,15.6294,0.07914,13.1,13.5,13.8,14.4,14.8,15.6,16.5,17.0,17.9,18.2,18.9
36,-0.3101,15.5988,0.07931,13.0,13.5,13.7,14.4,14.8,15.6,16.5,17.0,17.8,18.2,18.9
37,-0.3000,15.5693,0.07950,13.0,13.5,13.7,14.4,14.8,15.6,16.4,16.9,17.8,18.1,18.8
38,-0.2927,15.5410,0.07969,13.0,13.4,13.7,14.3,14.7,15.5,16.4,16.9,17.8,18.1,18.8
39,-0.2884,15.5140,0.07990,12.9,13.4,13.6,14.3,14.7,15.5,16.4,16.9,17.7,18.1,18.8
40,-0.2869,15.4885,0.08012,12.9,13.4,13.6,14.3,14.7,15.5,16.4,16.8,17.7,18.1,18.8
41,-0.2881,15.4645,0.08036,12.9,13.3,13.6,14.2,14.7,15.5,16.3,16.8,17.7,18.0,18.7
42,-0.2919,15.4420,0.08061,12.9,13.3,13.6,14.2,14.6,15.4,16.3,16.8,17.7,18.0,18.7
43,-0.2981,15.4210,0.08087,12.8,13.3,13.5,14.2,14.6,15.4,16.3,16.8,17.7,18.0,18.7
44,-0.3067,15.4013,0.08115,12.8,13.3,13.5,14.2,14.6,15.4,16.3,16.8,17.7,18.0,18.7
45,-0.3174,15.3827,0.08144,12.8,13.2,13.5,14.2,14.6,15.4,16.3,16.8,17.6,18.0,18.7
46,-0.3303,15.3652,0.08174,12.8,13.2,13.5,14.1,14.5,15.4,16.2,16.7,17.6,18.0,18.7
47,-0.3452,15.3485,0.08205,12.8,13.2,13.5,14.1,14.5,15.3,16.2,16.7,17.6,18.0,18.7
48,-0.3622,15.3326,0.08238,12.7,13.2,13.4,14.1,14.5,15.3,16.2,16.7,17.6,18.0,18.7
49,-0.3811,15.3174,0.08272,12.7,13.2,13.4,14.1,14.5,15.3,16.2,16.7,17.6,18.0,18.7
50,-0.4019,15.3029,0.08307,12.7,13.2,13.4,14.1,14.5,15.3,16.2,16.7,17.6,18.0,18.7
51,-0.4245,15.2891,0.08343,12.7,13.1,13.4,14.0,14.5,15.3,16.2,16.7,17.6,18.0,18.7
52,-0.4488,15.2759,0.08380,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.6,18.0,18.7
53,-0.4747,15.2633,0.08418,12.7,13.1,13.3,14.0,14.4,15.3,16.2,16.7,17.6,18.0,18.7
54,-0.5019,15.2514,0.08457,12.6,13.1,13.3,14.0,14.4,15.3,16.2,16.7,17.6,18.0,18.8
55,-0.5303,15.2400,0.08496,12.6,13.1,13.3,14.0,14.4,15.2,16.2,16.7,17.6,18.0,18.8
56,-0.5599,15.2291,0.08536,12.6,13.1,13.3,14.0,14.4,15.2,16.1,16.7,17.6,18.0,18.8
57,-0.5905,15.2188,0.08577,12.6,13.0,13.3,14.0,14.4,15.2,16.1,16.7,17.6,18.0,18.8
58,-0.6223,15.2091,0.08617,12.6,13.0,13.3,13.9,14.4,15.2,16.1,16.7,17.6,18.0,18.8
59,-0.6552,15.2000,0.08659,12.6,13.0,13.3,13.9,14.4,15.2,16.1,16.7,17.7,18.1,18.9
60,-0.6892,15.1916,0.08700,12.6,13.0,13.3,13.9,14.3,15.2,16.1,16.7,17.7,18.1,18.9
61,-0.7387,15.2641,0.08390,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,18.8
62,-0.7621,15.2616,0.08414,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,18.9
63,-0.7856,15.2604,0.08439,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,18.9
64,-0.8089,15.2605,0.08464,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,18.9
65,-0.8322,15.2619,0.08490,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,18.9
66,-0.8554,15.2645,0.08516,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.1,19.0
67,-0.8785,15.2684,0.08543,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.7,17.7,18.2,19.0
68,-0.9015,15.2737,0.08570,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.8,17.8,18.2,19.0
69,-0.9243,15.2801,0.08597,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.8,17.8,18.2,19.1
70,-0.9471,15.2877,0.08625,12.7,13.1,13.4,14.0,14.4,15.3,16.2,16.8,17.8,18.2,19.1
71,-0.9697,15.2965,0.08653,12.7,13.2,13.4,14.0,14.5,15.3,16.2,16.8,17.8,18.3,19.1
72,-0.9921,15.3062,0.08682,12.7,13.2,13.4,14.0,14.5,15.3,16.3,16.8,17.9,18.3,19.2
73,-1.0144,15.3169,0.08711,12.7,13.2,13.4,14.0,14.5,15.3,16.3,16.8,17.9,18.3,19.2
74,-1.0365,15.3285,0.08741,12.7,13.2,13.4,14.1,14.5,15.3,16.3,16.9,17.9,18.4,19.3
75,-1.0584,15.3408,0.08771,12.8,13.2,13.4,14.1,14.5,15.3,16.3,16.9,17.9,18.4,19.3
76,-1.0801,15.3540,0.08802,12.8,13.2,13.4,14.1,14.5,15.4,16.3,16.9,18.0,18.4,19.4
77,-1.1017,15.3679,0.08833,12.8,13.2,13.4,14.1,14.5,15.4,16.3,16.9,18.0,18.5,19.4
78,-1.1230,15.3825,0.08865,12.8,13.2,13.4,14.1,14.5,15.4,16.4,16.9,18.0,18.5,19.4
79,-1.1441,15.3978,0.08898,12.8,13.2,13.4,14.1,14.5,15.4,16.4,17.0,18.1,18.5,19.5
80,-1.1649,15.4137,0.08931,12.8,13.2,13.5,14.1,14.5,15.4,16.4,17.0,18.1,18.6,19.6
81,-1.1856,15.4302,0.08964,12.8,13.2,13.5,14.1,14.6,15.4,16.4,17.0,18.1,18.6,19.6
82,-1.2060,15.4473,0.08998,12.8,13.2,13.5,14.1,14.6,15.4,16.5,17.1,18.2,18.7,19.7
83,-1.2261,15.4650,0.09033,12.8,13.3,13.5,14.2,14.6,15.5,16.5,17.1,18.2,18.7,19.7
84,-1.2460,15.4832,0.09068,12.8,13.3,13.5,14.2,14.6,15.5,16.5,17.1,18.3,18.8,19.8
85,-1.2656,15.5019,0.09103,12.9,13.3,13.5,14.2,14.6,15.5,16.5,17.1,18.3,18.8,19.8
86,-1.2849,15.5210,0.09139,12.9,13.3,13.5,14.2,14.6,15.5,16.6,17.2,18.3,18.8,19.9
87,-1.3040,15.5407,0.09176,12.9,13.3,13.5,14.2,14.6,15.5,16.6,17.2,18.4,18.9,20.0
88,-1.3228,15.5608,0.09213,12.9,13.3,13.6,14.2,14.7,15.6,16.6,17.2,18.4,18.9,20.0
89,-1.3414,15.5814,0.09251,12.9,13.3,13.6,14.2,14.7,15.6,16.6,17.3,18.5,19.0,20.1
90,-1.3596,15.6023,0.09289,12.9,13.3,13.6,14.3,14.7,15.6,16.7,17.3,18.5,19.0,20.2
91,-1.3776,15.6237,0.09327,12.9,13.4,13.6,14.3,14.7,15.6,16.7,17.3,18.6,19.1,20.2
92,-1.3953,15.6455,0.09366,12.9,13.4,13.6,14.3,14.7,15.6,16.7,17.4,18.6,19.2,20.3
93,-1.4126,15.6677,0.09406,12.9,13.4,13.6,14.3,14.7,15.7,16.7,17.4,18.7,19.2,20.4
